BUDGET FISCAL YEAR,DEPARTMENT NAME,FUND NAME,ACCOUNT NAME,ADOPTED BUDGET AMOUNT,TOTAL EXPENDITURES,BUDGET CHANGE AMOUNT,BUDGET TRANSFER IN AMOUNT,BUDGET TRANSFER OUT AMOUNT,TOTAL BUDGET,ENCUMBRANCE AMOUNT,PRE-ENCUMBRANCE AMOUNT,BUDGET UNCOMMITTED AMOUNT,ACCOUNT GROUP NAME,FUND,ACCOUNT
2017,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRANSPORTATION,36304381.00,34107444.50,-2196936.50,0.00,0.00,34107444.50,0.00,0.00,0.00,,540,94N194
2019,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,ENGINEERING SPECIAL SERVICES,60000.00,60362.00,60362.00,0.00,0.00,120362.00,0.00,0.00,60000.00,SPECIAL,540,94R682
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,SR2S-SHERIDAN ST ES & BREED ST ES,0.00,3890881.93,4642000.00,0.00,0.00,4642000.00,61973.02,0.00,751118.07,,655,94LT43
2017,TRANSPORTATION,SPECIAL PARKING REVENUE,BLOSSOM PLAZA EASEMENTS,0.00,146500.00,146500.00,0.00,0.00,146500.00,0.00,0.00,0.00,,363,94NS12
2013,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,GENERAL SERVICES,631400.00,284071.54,-747328.46,400000.00,0.00,284071.54,0.00,0.00,0.00,,51Q,94J140
2014,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,TECHNICAL SERVICES CONTRACTS,50000.00,0.00,-50000.00,0.00,0.00,0.00,0.00,0.00,0.00,,528,94265K
2023,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),FIELD EQUIPMENT EXPENSE,96725.00,197043.00,0.00,163888.00,0.00,260613.00,2804.83,0.00,63570.00,EXPENSES,100,003090
2023,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,TECHNOLOGY AND COMMUNICATIONS,25000.00,11087.16,0.00,0.00,0.00,25000.00,1296.91,0.00,13912.84,SPECIAL,51Q,94WM13
2024,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT FACILITY SECURITY AND MAINTENANCE,3417265.00,1618450.37,0.00,0.00,0.00,3417265.00,1471706.79,0.00,1798814.63,SPECIAL,385,94Y427
2022,TRANSPORTATION,TRANSPORTATION GRANTS FUND,CONNECTING CANOGA PARK THROUGH SAFETY & URBAN COOLING,0.00,2256278.70,30924000.00,0.00,0.00,30924000.00,2256278.70,225627.80,28442093.50,,655,94VT3A
2017,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,CONTRACTUAL SERVICES-SUPPORT,30000.00,44.87,196616.21,0.00,0.00,226616.21,0.00,0.00,226571.34,SPECIAL,540,94N638
2022,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,STREET LIGHTING AT EXISTING PEDESTRIAN CROSSWALKS-VISIONZERO,500000.00,357873.16,-0.00,0.00,0.00,500000.00,3900.78,0.00,142126.84,SPECIAL,59C,94VV25
2021,TRANSPORTATION,TRANSPORTATION GRANTS FUND,EASTERN AVE MULTI-MODAL TRANSPORTATION IMPROVEMENT- LAMIP102,0.00,2964571.50,4500000.00,0.00,0.00,4500000.00,1195931.27,1361428.40,174000.10,,655,94TT2F
2021,TRANSPORTATION,PERMIT PARKING PROG REV FD,ENGINEERING SPECIAL SERVICES,0.00,25000.00,25000.00,0.00,0.00,25000.00,0.00,0.00,0.00,SPECIAL,49C,94T682
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,BICYCLE FRIENDLY STREETS (BFF),0.00,10000.00,549000.00,0.00,0.00,549000.00,10000.00,0.00,539000.00,,655,94LT13
2015,TRANSPORTATION,LOCAL TRANSPORTATION,BICYCLE PARKING / PATHS PROJECTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,207,94L664
2016,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT STOP ENHANCEMENTS,1000000.00,0.00,-1000000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94M464
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,SRTS CYCLE 3-BERENDO MDLE SCHL BICYCLE FRIENDLY ST,0.00,0.00,777920.00,0.00,0.00,777920.00,0.00,0.00,777920.00,,655,94LT01
2020,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,MATCHING FUNDS - MEASURE R PROJECTS/LRPT/30-10,13984000.00,13984000.00,0.00,0.00,0.00,13984000.00,0.00,0.00,0.00,SPECIAL,385,94S200
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,RESERVE FOR FUTURE TRANSIT SERVICE,22999254.00,0.00,-22999254.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94T399
2015,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,GENERAL CITY PURPOSES,30000.00,30000.00,0.00,0.00,0.00,30000.00,0.00,0.00,0.00,,540,94L156
2013,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BUS STOP SECURITY LIGHTING UNIT 18,495000.00,94415.26,-400584.74,0.00,0.00,94415.26,0.00,0.00,0.00,,51Q,94J654
2023,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BICYCLE PLAN/PROGRAM,2519330.00,1181678.51,0.00,0.00,0.00,2519330.00,27399.21,314570.50,1023080.99,SPECIAL,51Q,94W306
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,MARKETING CITY TRANSIT PROGRAM,3000000.00,2700949.14,0.00,0.00,0.00,3000000.00,225633.35,0.00,299050.86,SPECIAL,385,94V442
2014,TRANSPORTATION,VENTURA/CAHUENGA CORRIDOR PLAN,CITY PLANNING AND DEVELOPMENT,162489.00,0.00,-162489.00,0.00,0.00,0.00,0.00,0.00,0.00,,523,94K168
2016,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,INFORMATION TECHNOLOGY AGENCY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,51Q,94M132
2020,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,VISION ZERO CORRIDOR PROJECTS - M,7566777.00,7425626.10,-54765.30,0.00,0.00,7512011.70,584375.76,68243.69,18141.91,SPECIAL,59C,94SG25
2024,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT STORE,2500000.00,450100.00,0.00,0.00,0.00,2500000.00,450100.00,0.00,2049900.00,,385,94Y420
2024,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,TRANSPORTATION,269025.00,0.00,0.00,0.00,0.00,269025.00,0.00,0.00,269025.00,,596,94Y194
2018,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,133685.00,42755.72,0.00,0.00,0.00,133685.00,0.00,0.00,90929.28,EXPENSES,100,002120
2019,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TECHNOLOGY AND COMMUNICATIONS EQUIPMENT,130000.00,124809.00,-5191.00,0.00,0.00,124809.00,416.09,0.00,0.00,SPECIAL,385,94R406
2021,TRANSPORTATION,DEPT TRANSPORTATION TRUST,METRO CRENSHAW/LAX CORRIDOR PROJECT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,840,94TE14
2012,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,MULTIPURPOSE CENTER,0.00,3383227.00,-216273.00,3599500.00,0.00,3383227.00,0.00,0.00,0.00,,385,94H599
2019,TRANSPORTATION,SPECIAL PARKING REVENUE,CAPITAL EQUIPMENT PURCHASES,5800000.00,4581179.24,-1218820.76,0.00,0.00,4581179.24,-0.00,0.00,0.00,SPECIAL,363,94R040
2016,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,BICYCLE PATROL PROGRAM (VARIOUS DEPTS),70000.00,68616.89,-1383.11,0.00,0.00,68616.89,0.00,0.00,0.00,SPECIAL,528,94262M
2024,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,URBAN TRANSIT AMENITIES - STREET FURNITURE,8000000.00,8000000.00,0.00,0.00,0.00,8000000.00,1027568.65,0.00,0.00,SPECIAL,540,94YC12
2013,TRANSPORTATION,SPECIAL PARKING REVENUE,EXPO & WESTERN LAND ACQUISITION AND PARKING LOT CONSTRUCTION,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,363,94J903
2024,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),PAINT AND SIGN MAINTENANCE AND,3179077.00,1641359.26,0.00,0.00,0.00,3179077.00,1183563.17,145114.69,1391421.97,EXPENSES,100,003350
2015,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,OPEN AIR TROLLEY BUS PURCHASE,550000.00,0.00,-550000.00,0.00,0.00,0.00,0.00,0.00,0.00,,385,94L448
2017,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,CONSULTANT SERVICES,50000.00,135351.58,99990.00,0.00,0.00,149990.00,-0.00,0.00,14638.42,SPECIAL,540,94N340
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,INTELLIGENT TRANSPORTATION SYSTEM (ITS) COMMUNICATION SYSTEM,0.00,4027595.95,4584050.00,0.00,0.00,4584050.00,440994.55,53030.85,503423.20,,655,94LT15
2024,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,17450954.00,4477719.19,0.00,0.00,0.00,17450954.00,0.00,0.00,12973234.81,SALARIES AND BENEFITS,100,001090
2013,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,557875.00,535991.65,0.00,251158.50,32000.00,777033.50,-0.00,0.00,241041.85,EXPENSES,100,006010
2017,TRANSPORTATION,VENTURA/CAHUENGA CORRIDOR PLAN,REIMBURSEMENT OF GENERAL FUND COSTS,101537.00,89950.73,-11586.27,0.00,0.00,89950.73,0.00,0.00,0.00,,523,94N299
2020,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,VISION ZERO EDUCATION AND OUTREACH,1000000.00,948977.60,0.00,0.00,0.00,1000000.00,304464.11,0.00,51022.40,SPECIAL,59C,94SG24
2020,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,DEPT TRANSPORTATION TRUST,0.00,1269996.19,1269996.19,0.00,0.00,1269996.19,0.00,0.00,0.00,,540,94S840
2022,TRANSPORTATION,BICYCLE PLAN TRUST FUND,CAPITAL IMPROVEMENT EXPENSE PROGRAM,0.00,654404.72,654404.72,0.00,0.00,654404.72,0.00,0.00,0.00,,55C,94V154
2013,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,CITY ATTORNEY,182605.00,157812.47,-24792.53,0.00,0.00,157812.47,0.00,0.00,0.00,,540,94J112
2024,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,164927711.00,31455327.31,0.00,0.00,92574.00,164835137.00,0.00,0.00,133379809.69,SALARIES AND BENEFITS,100,001010
2021,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAFFIC SIGNAL SUPPLIES,2000000.00,227239.77,-1769416.42,0.00,0.00,230583.58,4108.31,0.00,3343.81,SPECIAL,540,94T800
2014,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,4815922.00,14632936.64,6544148.97,3643201.00,41826.00,14961445.97,0.00,0.00,328509.33,SALARIES AND BENEFITS,100,001090
2017,TRANSPORTATION,VENTURA/CAHUENGA CORRIDOR PLAN,TRANSPORTATION,242293.00,115971.51,-126321.49,0.00,0.00,115971.51,0.00,0.00,0.00,,523,94N194
2021,TRANSPORTATION,SPECIAL PARKING REVENUE,CONTRACTUAL SERVICES,23000000.00,19610496.00,-3389504.00,0.00,0.00,19610496.00,90016.25,0.00,0.00,SPECIAL,363,94T050
2020,TRANSPORTATION,TRANSPORTATION GRANTS FUND,CROSSING UPGRADES RRFB & PHB CROSSWALKS 15 LOC IN SOUTH BAY,0.00,142018.00,2771531.00,0.00,0.00,2771531.00,68966.75,5426.00,2624087.00,,655,94ST1S
2019,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,188685.00,38144.83,0.00,0.00,0.00,188685.00,0.00,0.00,150540.17,EXPENSES,100,002120
2024,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,"ALTERNATE FUEL FLEET VEHICLES, TRUCKS, AND INFRASTRUCTURE",153982.00,0.00,-153982.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,528,94261Y
2023,TRANSPORTATION,TRANSPORTATION GRANTS FUND,VERMONT BUS STOP IMP. MLK TO WILSHIRE BLVD - LAF9440,0.00,0.00,176000.00,0.00,0.00,176000.00,0.00,0.00,176000.00,,655,94WT4A
2014,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,CITY PLANNING AND DEVELOPMENT,241379.00,0.00,-241379.00,0.00,0.00,0.00,0.00,0.00,0.00,,528,94168K
2020,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,RESERVE FOR FUTURE TRANSIT SERVICE,122634229.00,0.00,-122634229.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94S399
2014,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,SENIOR/YOUTH TRANSPORTATION CH,800000.00,764040.81,-35959.19,0.00,0.00,764040.81,0.00,0.00,0.00,,385,94K226
2012,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TECHNOLOGY AND COMMUNICATIONS EQUIPMENT,95000.00,44411.05,-50588.95,0.00,0.00,44411.05,0.00,0.00,0.00,,385,94H406
2019,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT BUREAU DATA MANAGEMENT SYSTEM,150000.00,51294.00,-98706.00,0.00,0.00,51294.00,0.00,0.00,0.00,SPECIAL,385,94R430
2017,TRANSPORTATION,TRANSPORTATION GRANTS FUND,ENTRADA AVE PEDESTRIAN IMPROVEMENTS,0.00,0.00,140000.00,0.00,0.00,140000.00,0.00,0.00,140000.00,,655,94NT69
2017,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,TRANSPORTATION,255000.00,255000.00,0.00,0.00,0.00,255000.00,0.00,0.00,0.00,,596,94N194
2013,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,13376934.00,10837456.08,0.00,0.00,1542533.00,11834401.00,0.00,0.00,996944.92,EXPENSES,100,003040
2022,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,TRANSPORTATION,2038023.00,2139320.72,240000.00,0.00,0.00,2278023.00,0.00,0.00,138702.28,,528,94194V
2015,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PAINT AND SIGN MAINTENANCE,1000000.00,978276.89,-21723.11,0.00,0.00,978276.89,0.00,0.00,0.00,,51Q,94L478
2023,TRANSPORTATION,DEPT TRANSPORTATION TRUST,VENICE BOULEVARD SAFETY AND MOBILITY PROJECT,0.00,0.00,11700000.00,0.00,0.00,11700000.00,0.00,0.00,11700000.00,,840,94WE37
2022,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,BUREAU OF CONTRACT ADMINISTRATION,1306626.00,194278.98,0.00,0.00,0.00,1306626.00,0.00,0.00,1112347.02,,59C,94V176
2020,TRANSPORTATION,TRANSPORTATION GRANTS FUND,112TH ST & FLOURNOY ELEMENTARY SCHOOL SAFETY IMPROV PROJ,0.00,0.00,5600000.00,0.00,0.00,5600000.00,0.00,589209.00,5010791.00,,655,94ST1L
2020,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BICYCLE PATH MAINTENANCE,613000.00,600743.00,-12257.00,0.00,0.00,600743.00,-0.00,0.00,0.00,SPECIAL,540,94S992
2016,TRANSPORTATION,SPECIAL PARKING REVENUE,TRAVEL AND TRAINING,21880.00,20281.11,-1598.89,0.00,0.00,20281.11,0.00,0.00,0.00,,363,94M313
2020,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,ALLEY PAVING,3000000.00,0.00,-3000000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,59C,94SV01
2020,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,TRANSPORTATION,255000.00,142487.76,-112512.24,0.00,0.00,142487.76,0.00,0.00,0.00,,596,94S194
2014,TRANSPORTATION,LOCAL TRANSPORTATION,PROJECT TECH SUPPORT-BIKEWAYS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,207,94H669
2014,TRANSPORTATION,LOCAL TRANSPORTATION,GENERAL SERVICES DEPT,0.00,12853.02,12853.02,0.00,0.00,12853.02,0.00,0.00,0.00,,207,94K140
2014,TRANSPORTATION,DEPT TRANSPORTATION TRUST,MEASURE R LOCAL RETURN FUND,0.00,10000.00,10000.00,0.00,0.00,10000.00,0.00,0.00,0.00,,840,94K51Q
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,TRANSPORTATION,0.00,1913.92,1913.92,0.00,0.00,1913.92,0.00,0.00,-0.00,,655,94L194
2019,TRANSPORTATION,SPECIAL PARKING REVENUE,PARKING STUDIES,500000.00,0.00,-500000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,363,94RS09
2021,TRANSPORTATION,TRANSPORTATION GRANTS FUND,GRANT REIMBURSEMENTS TO PROP C FUND,0.00,5611852.70,5611852.70,0.00,0.00,5611852.70,0.00,0.00,0.00,,655,94T999
2015,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,MAYOR,0.00,100000.00,100000.00,0.00,0.00,100000.00,0.00,0.00,0.00,,51Q,94L146
2017,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BOARD OF PUBLIC WORKS,145524.00,123895.93,-21628.07,0.00,0.00,123895.93,0.00,0.00,0.00,,540,94N174
2019,TRANSPORTATION,TRANSPORTATION GRANTS FUND,ALAMEDA ST. WIDEN FRM ANAHEIM-300 S/O PCH-F7205 (CFP),0.00,640530.00,8066355.00,0.00,0.00,8066355.00,378080.00,684270.00,6741555.00,,655,94RT0E
2020,TRANSPORTATION,SPECIAL PARKING REVENUE,BLOSSOM PLAZA EASEMENTS AND IMPROVEMENTS,146500.00,146500.00,0.00,0.00,0.00,146500.00,0.00,0.00,0.00,SPECIAL,363,94SS12
2012,TRANSPORTATION,ARRA-TRANSPORTATION PROJ SPECI,STREET MAINTENANCE,0.00,72.79,72.79,0.00,0.00,72.79,0.00,0.00,-0.00,,51X,94H186
2014,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,WILSHIRE BUS RAPID TRANSIT,3000000.00,0.00,-3000000.00,0.00,0.00,0.00,0.00,0.00,0.00,,51Q,94K686
2017,TRANSPORTATION,TRANSPORTATION GRANTS FUND,GENERAL SERVICES,0.00,323237.31,323237.31,0.00,0.00,323237.31,0.00,0.00,0.00,,655,94N140
2016,TRANSPORTATION,SPECIAL PARKING REVENUE,PARKING FACILITIES LEASE PAYMENTS,360000.00,360000.00,0.00,0.00,0.00,360000.00,0.00,0.00,0.00,SPECIAL,363,94M080
2023,TRANSPORTATION,SPECIAL PARKING REVENUE,CAPITAL EQUIPMENT PURCHASES,6890000.00,4007409.33,0.00,0.00,0.00,6890000.00,3971715.73,0.00,2882590.67,SPECIAL,363,94W040
2012,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,325685.00,133995.10,0.00,25000.00,145685.00,205000.00,-0.00,0.00,71004.90,EXPENSES,100,002120
2022,TRANSPORTATION,TRANSPORTATION REVIEW FEE FUND,TRANSPORTATION,0.00,254890.96,254890.96,0.00,0.00,254890.96,0.00,0.00,0.00,,50Y,94V194
2016,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,MATCHING FUNDS - MEASURE R PROJECTS/LRPT/30-10,13800000.00,13834740.00,34740.00,0.00,0.00,13834740.00,0.00,0.00,0.00,SPECIAL,385,94M200
2015,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,103608196.00,98009993.55,486430.40,35000.00,2505819.00,101623807.40,0.00,0.00,3613813.85,SALARIES AND BENEFITS,100,001010
2018,TRANSPORTATION,LOCAL TRANSPORTATION,LOT 687 CANOGA PARK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,207,94P206
2018,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PW-BOARD OFFICE,130370.00,134450.39,4080.39,0.00,0.00,134450.39,0.00,0.00,0.00,,540,94P174
2020,TRANSPORTATION,TRANSPORTATION GRANTS FUND,GRANT REIMBURSEMENTS TO GENERAL FUND,0.00,3073116.40,3073116.40,0.00,0.00,3073116.40,0.00,0.00,0.00,,655,94S799
2020,TRANSPORTATION,VENTURA/CAHUENGA CORRIDOR PLAN,ADMINISTRATION,0.00,24440.00,24440.00,0.00,0.00,24440.00,0.00,0.00,0.00,,523,943000
2015,TRANSPORTATION,ATSAC TRUST,LAUSD-SFV04-201-VALLEY HS #1A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,484,94L949
2020,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,"ALTERNATE FUEL FLEET VEHICLES, TRUCKS, AND INFRASTRUCTURE",359820.00,359820.00,0.00,0.00,0.00,359820.00,0.00,0.00,0.00,SPECIAL,528,94261S
2013,TRANSPORTATION,TRANSPORTATION GRANTS FUND,LOS ANGELES CENTRAL AVE STREETSCAPE PROJECT,0.00,372508.00,700000.00,0.00,0.00,700000.00,18625.40,17492.00,310000.00,,655,94J591
2018,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT OPERATIONS,95200000.00,75320865.89,-19879134.11,0.00,0.00,75320865.89,-0.00,0.00,0.00,SPECIAL,385,94P431
2017,TRANSPORTATION,TRANSPORTATION GRANTS FUND,WATTS STREETSCAPE CENTRAL AVE/103RD ST (SAFETEA LU),0.00,173888.93,800000.00,0.00,0.00,800000.00,1533.70,0.00,626111.07,,655,94NT71
2015,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TECHNOLOGY AND COMMUNICATIONS EQUIPMENT,100000.00,138298.89,38298.89,0.00,0.00,138298.89,0.00,0.00,0.00,,540,94L406
2012,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAVEL-TRAINING,28000.00,10241.15,-17758.85,0.00,0.00,10241.15,0.00,0.00,0.00,,540,94H214
2015,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),UNIFORMS,153095.00,37607.08,0.00,0.00,0.00,153095.00,0.00,0.00,115487.92,EXPENSES,100,004430
2022,TRANSPORTATION,COASTAL TRANSP CORRIDOR TRUST,TRANSPORTATION,573699.00,330958.18,-242740.82,0.00,0.00,330958.18,0.00,0.00,0.00,,447,94194V
2018,TRANSPORTATION,LOCAL TRANSPORTATION,PW-STREET SERVICES,947832.00,1118832.00,171000.00,0.00,0.00,1118832.00,0.00,0.00,0.00,,207,94P186
2012,TRANSPORTATION,SPECIAL PARKING REVENUE,GENERAL SERVICES,0.00,1504083.00,2500.00,4413850.76,2912267.76,1504083.00,0.00,0.00,0.00,,363,94H140
2019,TRANSPORTATION,TRANSPORTATION GRANTS FUND,ATSAC INFRASTR. COMM ALONG I-110 FREEWAY,0.00,1365356.39,1370679.00,0.00,0.00,1370679.00,67465.70,5322.61,0.00,,655,94RT0K
2018,TRANSPORTATION,WARNER CTR TRANS IMPROVE TRUST,TRANSPORTATION MANAGEMENT ORGANIZATION,0.00,644955.32,785000.00,0.00,0.00,785000.00,16197.16,0.00,140044.68,,573,94P695
2018,TRANSPORTATION,SPECIAL PARKING REVENUE,CONTRACTUAL SERVICES,23117900.00,19512652.42,-3605247.58,0.00,0.00,19512652.42,0.00,0.00,0.00,SPECIAL,363,94P050
2024,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,NOHO PLAZA PEOPLE STREETS,300000.00,0.00,0.00,0.00,0.00,300000.00,0.00,0.00,300000.00,SPECIAL,540,94YC14
2015,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),INVESTIGATIONS,81651.00,79788.00,0.00,0.00,0.00,81651.00,0.00,0.00,1863.00,EXPENSES,100,003120
2015,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,OFFICE SUPPLIES,50000.00,26000.82,-23999.18,0.00,0.00,26000.82,0.00,0.00,0.00,,540,94L415
2013,TRANSPORTATION,SPECIAL PARKING REVENUE,BOND ADMINISTRATION,10000.00,9130.00,-870.00,0.00,0.00,9130.00,0.00,0.00,0.00,,363,94J968
2024,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PPP ACCESS RAMPS,2927041.00,0.00,0.00,0.00,0.00,2927041.00,0.00,2927041.00,0.00,SPECIAL,51Q,94YC10
2022,TRANSPORTATION,DEPT TRANSPORTATION TRUST,INSTALL PHB AT INT. OF LA TUNA CANYON/CANTER IN SHADOW HILLS,0.00,0.00,483771.40,0.00,0.00,483771.40,0.00,0.00,483771.40,,840,94VE20
2014,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,METRO/EXPO AUTHORITY ANNUAL WORK PROGRAM,1200000.00,0.00,-1200000.00,0.00,0.00,0.00,0.00,0.00,0.00,,540,94K659
2013,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,SHERMAN WAY TUNNEL VENTILATION FAN REPLACEMENT,410000.00,0.00,-410000.00,0.00,0.00,0.00,0.00,0.00,0.00,,51Q,94J653
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,AGING,422492.00,393696.31,0.00,0.00,0.00,422492.00,0.00,0.00,28795.69,,385,94V102
2016,TRANSPORTATION,SPECIAL PARKING REVENUE,CAPITAL FINANCE ADMINISTRATION,5853296.00,5853296.00,0.00,0.00,0.00,5853296.00,0.00,0.00,0.00,,363,94M153
2022,TRANSPORTATION,DEPT TRANSPORTATION TRUST,CD-15 SPEED HUMPS,0.00,67217.00,161000.00,0.00,0.00,161000.00,44163.00,0.00,93783.00,,840,94VE15
2018,TRANSPORTATION,TRANSPORTATION GRANTS FUND,MISSION RD & MEYERS ST SAFETY IMPR PRJ,0.00,785405.68,872902.00,0.00,0.00,872902.00,9962.79,17930.22,69566.10,,655,94PT95
2018,TRANSPORTATION,TRANSPORTATION GRANTS FUND,BALBOA BLVD WIDENING AT DEVONSHIRE ST,0.00,1498679.50,1540000.00,0.00,0.00,1540000.00,1387286.64,0.00,41320.50,,655,94PT82
2015,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PEDESTRIAN PLAN/PROGRAM,2185000.00,1946122.67,-233719.52,0.00,0.00,1951280.48,4902.72,5157.81,0.00,,51Q,94L487
2021,TRANSPORTATION,SPECIAL PARKING REVENUE,COLLECTION SERVICES,3000000.00,2309531.75,-690468.25,0.00,0.00,2309531.75,0.00,0.00,0.00,SPECIAL,363,94T010
2016,TRANSPORTATION,SPECIAL PARKING REVENUE,RESERVE FOR CONTINGENCIES,300000.00,0.00,-300000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,363,94MS99
2020,TRANSPORTATION,LOCAL TRANSPORTATION,BIKEWAYS PROGRAM,593910.00,542581.48,0.00,0.00,0.00,593910.00,29444.18,0.00,51328.52,SPECIAL,207,94SD02
2017,TRANSPORTATION,TRANSPORTATION GRANTS FUND,STOCKER MLK CRENSHAW ACCESS TO EXPO LRT STATION,0.00,147509.87,147509.87,0.00,0.00,147509.87,0.00,0.00,0.00,,655,94NT55
2015,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),"FURNITURE, OFFICE AND TECHNICAL EQUIPMENT",63533.00,19627.05,0.00,0.00,40944.76,22588.24,0.00,0.00,2961.19,EQUIPMENT,100,007300
